Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2024-05-20,VHTJ1C-R,1.000040054321289,1.000040054321289,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-08-11,TF1Z16-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-07-04,FFYYD2-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-03-13,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-05-24,TF1Z16-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-07-09,FFYYD2-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-03-21,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-05-14,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-03-28,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-05-04,V07BHX-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-02-22,PW1CY3-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-03-08,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-04-03,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-06-24,FFYYD2-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-06-21,FFYYD2-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-05-21,QVSQJ4-R,1.0,1.0,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
